ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty,truth
8475193,Tomas Tatar,L,NJD,6409,3,0,2,9,7,9,0,1,1066,5343,2,25.0,0.0,0,0,0,0,0,1,-1,3,148,31,2886,0,0,2,1,3,7,0,0,467,2419,2,0,0.0,0,0,0,0,0,1,-1,0,67,7,911.6990000000001,0
8475193,Tomas Tatar,L,NJD,9013,3,0,6,13,10,12,0,1,1615,7398,6,28.125,0.0,0,0,0,0,0,2,-2,3,213,37,2604,0,0,4,4,3,3,0,0,549,2055,4,25.0,0.0,0,0,0,0,0,1,-1,0,65,6,1303.6351000000002,1
8475193,Tomas Tatar,L,NJD,12850,5,1,8,23,14,16,1,2,1967,10883,8,7.03125,1.7875,0,0,0,0,0,4,-1,6,305,79,3837,2,1,2,10,4,4,1,1,352,3485,2,0.0,1.7875,0,0,0,0,0,2,1,3,92,42,623.6758,0
8475193,Tomas Tatar,L,NJD,14561,5,2,8,32,16,19,1,2,2292,12266,8,7.03125,17.096874999999997,0,0,0,0,3,5,-3,7,346,94,1711,0,1,0,9,2,3,0,0,325,1383,0,0,16.65,0,0,0,0,3,1,-2,1,41,15,1043.913,0
8475193,Tomas Tatar,L,NJD,17225,6,3,8,38,19,21,1,2,2561,14661,8,51.7578125,27.137109375,0,0,0,0,3,6,-1,9,408,117,2664,1,1,0,6,3,2,0,0,269,2395,0,50.0,25.0,0,0,0,0,0,1,2,2,62,23,974.6779,0
8475193,Tomas Tatar,L,NJD,19605,7,5,8,44,22,23,1,3,2858,16735,8,62.939453125,22.142138671875,0,0,0,0,12,7,-2,12,467,142,2380,1,2,0,6,3,2,0,1,297,2074,0,50.0,18.75,0,0,0,0,9,1,-1,3,59,25,1345.8072000000002,0
8475193,Tomas Tatar,L,NJD,23361,7,5,10,47,26,28,1,3,3404,19945,10,31.4697265625,5.53553466796875,0,0,0,0,12,8,-2,12,549,151,3756,0,0,2,3,4,5,0,0,546,3210,2,0.0,0.0,0,0,0,0,0,1,0,0,82,9,1307.2256,1
8475193,Tomas Tatar,L,NJD,26920,8,6,12,53,30,30,2,4,3996,22907,12,65.73486328125,6.595970916748047,0,0,0,0,17,10,-5,14,626,175,3559,1,1,2,6,4,2,1,1,592,2962,2,50.0,6.25,0,0,0,0,5,2,-3,2,77,24,982.8959,0
8475193,Tomas Tatar,L,NJD,30039,9,8,12,59,33,30,2,4,4378,25644,12,65.73486328125,15.399496364593505,0,0,0,0,17,12,-3,17,701,203,3119,1,2,0,6,3,0,0,0,382,2737,0,0,14.575,0,0,0,0,0,2,2,3,75,28,288.3466,0
8475193,Tomas Tatar,L,NJD,30862,9,8,12,64,34,31,2,4,4523,26322,12,65.73486328125,7.699748182296752,0,0,0,0,17,12,-3,17,721,209,823,0,0,0,5,1,1,0,0,145,678,0,0,0.0,0,0,0,0,0,0,0,0,20,6,1038.5316,0
8475193,Tomas Tatar,L,NJD,33640,9,8,14,69,37,35,2,4,4629,28994,14,32.867431640625,1.924937045574188,0,0,0,0,17,13,-5,17,787,215,2778,0,0,2,5,3,4,0,0,106,2672,2,0.0,0.0,0,0,0,0,0,1,-2,0,66,6,934.7908,0
8475193,Tomas Tatar,L,NJD,35977,9,8,14,71,40,36,2,4,4893,31067,14,58.21685791015625,0.962468522787094,0,0,0,0,17,13,-10,17,846,208,2337,0,0,0,2,3,1,0,0,264,2073,0,50.0,0.0,0,0,0,0,0,0,-5,0,59,-7,613.393,0
8475193,Tomas Tatar,L,NJD,37631,9,8,14,72,42,40,2,4,5112,32502,14,58.21685791015625,0.481234261393547,0,0,0,0,17,13,-12,17,883,209,1654,0,0,0,1,2,4,0,0,219,1435,0,0,0.0,0,0,0,0,0,0,-2,0,37,1,1274.2132000000001,0
8475193,Tomas Tatar,L,NJD,40945,10,9,14,78,46,43,2,4,5368,35560,14,45.773428955078124,25.060154282674194,0,0,0,0,17,14,-11,19,963,231,3314,1,1,0,6,4,3,0,0,256,3058,0,16.665,25.0,0,0,0,0,0,1,1,2,80,22,338.1884,0
8475193,Tomas Tatar,L,NJD,41836,11,9,14,80,47,43,2,5,5445,36374,14,45.773428955078124,12.530077141337097,0,0,0,0,17,14,-12,20,987,237,891,1,0,0,2,1,0,0,1,77,814,0,0,0.0,0,0,0,0,0,0,-1,1,24,6,604.0758000000001,0
8475193,Tomas Tatar,L,NJD,43430,12,9,16,86,49,44,2,5,5582,37831,16,72.88671447753906,3.1325192853342743,0,0,0,0,17,14,-13,21,1031,246,1594,1,0,2,6,2,1,0,0,137,1457,2,50.0,0.0,0,0,0,0,0,0,-1,1,44,9,1325.6643000000001,0
8475193,Tomas Tatar,L,NJD,46372,13,9,16,93,53,47,2,5,5994,40361,16,18.221678619384765,0.3915649106667843,0,0,0,0,17,17,-12,22,1107,265,2942,1,0,0,7,4,3,0,0,412,2530,0,0.0,0.0,0,0,0,0,0,3,1,1,76,19,1037.3117,0
8476462,Dougie Hamilton,D,NJD,1554,0,1,2,3,1,3,0,0,145,1152,2,0,16.65,0,0,0,0,257,2,3,1,33,20,1554,0,1,2,3,1,3,0,0,145,1152,2,0,16.65,0,0,0,0,257,2,3,1,33,20,1039.0754000000002,0
8476462,Dougie Hamilton,D,NJD,5701,1,1,2,10,4,7,0,1,680,4419,2,0,4.1625,0,0,0,0,602,7,1,2,115,38,4147,1,0,0,7,3,4,0,1,535,3267,0,0,0.0,0,0,0,0,345,5,-2,1,82,18,950.7837,0
8476462,Dougie Hamilton,D,NJD,10031,4,2,2,29,7,13,0,2,1292,7962,2,0,5.5203125,0,0,0,0,777,14,4,6,198,96,4330,3,1,0,19,3,6,0,1,612,3543,0,0,5.0,0,0,0,0,175,7,3,4,83,58,911.6990000000001,0
8476462,Dougie Hamilton,D,NJD,10551,4,2,4,31,8,13,0,2,1350,8424,4,0,2.76015625,0,0,0,0,777,14,4,6,206,98,520,0,0,2,2,1,0,0,0,58,462,2,0,0.0,0,0,0,0,0,0,0,0,8,2,1303.6351000000002,1
8476462,Dougie Hamilton,D,NJD,14500,5,4,4,43,11,17,1,4,1656,11992,4,0,12.84501953125,0,0,0,0,852,23,5,9,285,153,3949,1,2,0,12,3,4,1,2,306,3568,0,0,12.5,0,0,0,0,75,9,1,3,79,55,623.6758,0
8476462,Dougie Hamilton,D,NJD,17210,5,5,8,48,13,22,1,4,2049,14281,8,0,9.4612548828125,0,0,0,0,880,25,7,10,335,175,2710,0,1,4,5,2,5,0,0,393,2289,4,0,6.25,0,0,0,0,28,2,2,1,50,22,1043.913,0
8476462,Dougie Hamilton,D,NJD,21272,6,6,12,61,16,25,1,4,2574,17770,12,0,6.182656860351562,0,0,0,0,928,32,7,12,416,208,4062,1,1,4,13,3,3,0,0,525,3489,4,0,5.0,0,0,0,0,48,7,0,2,81,33,974.6779,0
8476462,Dougie Hamilton,D,NJD,25116,9,6,14,77,19,28,1,4,2919,21221,14,0,0.7728321075439453,0,0,0,0,976,34,4,15,491,235,3844,3,0,2,16,3,3,0,0,345,3451,2,0,0.0,0,0,0,0,48,2,-3,3,75,27,1345.8072000000002,0
8476462,Dougie Hamilton,D,NJD,30564,9,6,18,84,23,34,1,4,3538,25986,18,0,0.04830200672149658,0,0,0,0,1040,39,1,15,596,247,5448,0,0,4,7,4,6,0,0,619,4765,4,0,0.0,0,0,0,0,64,5,-3,0,105,12,1307.2256,0
8476462,Dougie Hamilton,D,NJD,35930,11,6,22,99,27,36,1,5,4209,30531,22,0,0.003018875420093536,0,0,0,0,1190,43,-9,17,699,258,5366,2,0,4,15,4,2,0,1,671,4545,4,0,0.0,0,0,0,0,150,4,-10,2,103,11,983.3589000000001,1
8476462,Dougie Hamilton,D,NJD,38538,13,7,22,108,30,38,2,7,4445,32884,22,0,6.250754718855023,0,0,0,0,1209,47,-9,20,754,299,2608,2,1,0,9,3,2,1,2,236,2353,0,0,6.25,0,0,0,0,19,4,0,3,55,41,604.0758000000001,0
