,ID,Name,Position,Team,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,fanPts,timeOnIce_W,assists_W,goals_W,pim_W,shots_W,games_W,hits_W,powerPlayGoals_W,powerPlayPoints_W,powerPlayTimeOnIce_W,evenTimeOnIce_W,penaltyMinutes_W,faceOffPct_W,shotPct_W,gameWinningGoals_W,overTimeGoals_W,shortHandedGoals_W,shortHandedPoints_W,shortHandedTimeOnIce_W,blocked_W,plusMinus_W,points_W,shifts_W,fanPts_W,upcomingDifficulty
491,8477500,Bo Horvat,C,VAN,62131,16,17,30,139,52,75,8,12,10490,48400,30,46.68208711358946,5.935311781872837,3,0,0,0,3241,32,0,33,1312,530,3255,4,0,0,3,3,6,0,0,369,2746,0,39.43625,0.0,0,0,0,0,140,1,2,4,65,30,945.8606
492,8477996,Juho Lammikko,L,VAN,35223,6,6,12,45,50,54,0,0,389,30508,12,51.28096315024703,6.011793518066406,2,0,0,0,4326,32,3,12,909,217,2027,0,0,0,2,3,5,0,0,3,1962,0,45.2375,0.0,0,0,0,0,62,3,1,0,52,12,945.8606
493,8478146,Matthew Highmore,C,VAN,23483,6,3,12,35,30,32,1,1,255,21060,12,0.0,7.0343017578125,0,0,0,0,2168,29,3,9,607,154,2052,0,0,4,2,3,4,0,0,3,2006,4,0,0.0,0,0,0,0,43,3,-1,0,51,7,945.8606
494,8478444,Brock Boeser,R,VAN,57178,17,16,14,145,51,21,8,14,10051,47062,14,54.2480322265625,13.47037879086539,4,0,0,1,65,19,-8,33,1118,465,3023,2,1,0,10,3,3,1,1,369,2654,0,0,12.5,0,0,0,0,0,0,-2,3,58,33,945.8606
495,8478856,Conor Garland,R,VAN,50397,17,14,28,144,52,42,1,2,5924,44347,28,53.125,1.5157574826670752,3,0,0,0,126,13,12,31,1135,417,2762,1,0,0,9,3,3,0,0,123,2639,0,0,0.0,0,0,0,0,0,0,0,1,58,16,945.8606
496,8480012,Elias Pettersson,C,VAN,61599,22,17,8,114,57,28,6,16,11357,49365,8,51.907938247565376,4.582311288373632,1,0,2,2,877,34,1,39,1259,478,3245,1,0,0,3,3,3,0,0,344,2831,0,46.28875,0.0,0,0,0,0,70,3,-2,1,62,9,945.8606
497,8480800,Quinn Hughes,D,VAN,79913,40,4,22,111,53,14,0,21,11741,65435,22,0.0,0.5859375001932676,0,0,0,1,2737,37,8,44,1459,404,4295,3,0,0,6,3,1,0,1,368,3794,0,0,0.0,0,0,0,0,133,3,-5,3,81,14,945.8606
498,8481535,Nils Hoglander,L,VAN,44849,8,9,22,125,56,32,1,3,3558,41235,22,0.0,8.32507867903805,0,0,0,0,56,16,-6,17,1042,261,2129,0,1,0,9,3,7,0,0,0,2129,0,0.0,8.325,0,0,0,0,0,2,-2,1,50,20,945.8606
499,8481617,Vasily Podkolzin,R,VAN,40512,6,10,16,76,54,60,0,1,2001,38205,16,32.51953125,58.33483618088358,3,0,0,0,306,24,7,16,945,290,2549,1,2,0,5,3,4,0,0,0,2549,0,0,56.25,1,0,0,0,0,3,2,3,60,42,945.8606
500,8476312,Josh Manson,D,ANA,50908,4,3,49,56,43,112,0,0,94,44693,49,0.0,0.015260279178619385,0,0,0,0,6121,44,0,7,1040,246,1409,1,0,0,2,2,2,0,0,1,1317,0,0,0.0,0,0,0,0,91,0,1,1,32,10,1332.8800999999999
